Type,Name,Flavor Profile,Image,Size,Strength
Disposable,Geek Bar Pulse 5% Blo Pop,"Pineapple, Banana, Citrus, Strawberry, Bubble Gum, Fruit, Candy",,,
Disposable,Geek Bar Pulse 5% Blue Razz Ice,"Blue Razz, Ice, Blue Raspberry, Fruit, Candy",,,
Disposable,Geek Bar Pulse 5% Meta Moon,"Papaya, Strawberry, Watermelon, Fruit",,,
Sub-Ohm,Meta Fair Grounds,"Deep Fried Cream Cake, Custard, Dessert, Sweet",meta-fair-grounds.jpg,60ml,
Sub-Ohm,Meta Golden Ticket,"Chocolate Milk, Chocolate, Milk, Dessert, Sweet",meta-golden-ticket.jpg,60ml,
Salt Nic,Meta Fair Grounds,"Deep Fried Cream Cake, Custard, Dessert, Sweet",meta-fair-grounds.jpg,30ml,
Salt Nic,Meta Golden Ticket,"Chocolate Milk, Chocolate, Milk, Dessert, Sweet",meta-golden-ticket.jpg,30ml,
Disposable,Geek Bar Pulse 5% Pink Lemonade,"Citrus, Lemonade, Pink Lemonade, Strawberry, Fruit",,,
Disposable,Geek Bar Pulse 5% Strawberry Banana,"Strawberry, Banana, Fruit",,,
Disposable,Geek Bar Pulse 5% Tropical Rainbow Blast,"Tropical, Candy, Strawberry, Lime, Grape, Lemon, Orange, Skittles, Fruit, Candy",,,
Disposable,Geek Bar Pulse 5% Watermelon Ice,"Watermelon, Ice, Fruit, Menthol",,,
Disposable,Geek Bar Pulse 5% Black Cherry,"Black Cherry, Fruit",,,
Disposable,Geek Bar Pulse 5% Blue Mint,"Blueberry, Mint, Ice, Menthol, Fruit",,,
Disposable,Geek Bar Pulse 5% California Cherry,"Cherry, Fruit",,,
Disposable,Geek Bar Pulse 5% Dragon Melon,"Dragonfruit, Pear, Watermelon, Fruit",,,
Disposable,Geek Bar Pulse 5% Grape Blo Pop,"Grape, Bubblegum, Fruit, Candy",,,
Disposable,Geek Bar Pulse 5% Juicy Peach Ice,"Peach, Ice, Menthol, Fruit",,,
Disposable,Geek Bar Pulse 5% Mexico Mango,"Mango, Fruit",,,
Disposable,Geek Bar Pulse 5% Miami Mint,"Mint, Citrus, Lemon, Lime, Menthol",,,
Disposable,Geek Bar Pulse 5% Sour Apple Ice,"Green Apple, Sour Apple, Ice, Menthol, Fruit, Candy",,,
Disposable,Geek Bar Pulse 5% Strawberry Mango,"Mango, Strawberry, Fruit",,,
Disposable,Geek Bar Pulse 5% White Gummy Ice,"Pineapple, Gummy, Ice, Menthol, Fruit, Candy",,,
Disposable,Geek Bar Pulse 5% Cherry Bomb,"Cherry, Ice, Menthol, Fruit",,,
Disposable,RAZ TN9000 5% Apple Cinnamon,"Apple, Cinnamon, Apple Pie, Dessert",,,
Disposable,RAZ TN9000 5% Blue Raz Ice,"Blue Rasberry, Ice, Blue Razz, Menthol",,,
Disposable,RAZ TN9000 5% Blueberry Watermelon,"Blueberry, Watermelon, Fruit",,,
Disposable,RAZ TN9000 5% Cactus Jack,"Cactus, Pineapple, Mango, Papaya, Guava, Fruit, Tropical",,,
Disposable,RAZ TN9000 5% Cherry Lemon,"Cherry, Lemon, Fruit",,,
Disposable,RAZ TN9000 5% Citronnade,"Citrus, Lemon, Lemonade",,,
Disposable,RAZ TN9000 5% Dragon Fruit Lemonade,"Dragon Fruit, Lemonade, Fruit, Lemon",,,
Disposable,RAZ TN9000 5% Graham Twist,"Graham, Honey, Dessert",,,
Disposable,RAZ TN9000 5% Grape Ice,"Grape, Ice, Menthol",,,
Disposable,RAZ TN9000 5% Mango Colada,"Mango, Coconut, Pineapple, Fruit",,,
Disposable,RAZ TN9000 5% Miami Mint,"Mint, Citrus, Lemon, Lime, Ice, Menthol",,,
Disposable,RAZ TN9000 5% Night Crawler,"Mystery, Gummy Worm, Candy, Fruit",,,
Disposable,RAZ TN9000 5% Polar Ice,"Mint, Cool, Ice, Menthol",,,
Disposable,RAZ TN9000 5% Pumpkin Pie Frosting,"Pumpkin, Cinnamon, Graham, Frosting, Ice, Vanilla, Dessert",,,
Disposable,RAZ TN9000 5% Strawberry Ice,"Strawberry, Ice, Menthol, Fruit",,,
Disposable,RAZ TN9000 5% Strawberry Shortcake,"Strawberry, Cake, Cream, Vanilla, Dessert",,,
Disposable,RAZ TN9000 5% Triple Berry Ice,"Raspberry, Blueberry, Blackberry, Fruit",,,
Disposable,RAZ TN9000 5% Watermelon Ice,"Watermelon, Ice, Menthol, Fruit, Lush Ice",,,
Salt Nic,7 Daze Fusion Banana Cantaloupe Honeydew,"Banana, Cantaloupe, Honeydew, Fruit",7-daze-fusion-banana-cantaloupe-honeydew.png,30ml,
Salt Nic,7 Daze Fusion Grape Apple Aloe,"Grape, Apple, Aloe, Fruit",7-daze-fusion-grape-apple-aloe.png,30ml,
Salt Nic,7 Daze Fusion Grapefruit Orange Mango,"Grapefruit, Orange, Mango, Fruit",7-daze-fusion-grapefruit-orange-mango.png,30ml,
Salt Nic,7 Daze Fusion Kiwi Passionfruit Guava,"Kiwi, Passionfruit, Guava, Fruit",7-daze-fusion-kiwi-passionfruit-guava.png,30ml,
Salt Nic,7 Daze Fusion Lemon Passionfruit Blueberry,"Lemon, Passionfruit, Blueberry, Fruit",7-daze-fusion-lemon-passionfruit-blueberry.png,30ml,
Salt Nic,7 Daze Fusion Orange Cream Mango,"Orange, Cream, Mango, Fruit, Vanilla",7-daze-fusion-orange-cream-mango.png,30ml,
Salt Nic,7 Daze Fusion Orange Yuzu Tangerine,"Orange, Yuzu, Tangerine, Fruit",7-daze-fusion-orange-yuzu-tangerine.png,30ml,
Salt Nic,7 Daze Fusion Pineapple Coconut Banana,"Pineapple, Coconut, Banana, Fruit, Pina Colada",7-daze-fusion-pineapple-coconut-banana.png,30ml,
Salt Nic,7 Daze Fusion Pineapple Mango Orange,"Pineapple, Mango, Orange, Fruit",7-daze-fusion-pineapple-mango-orange.png,30ml,
Salt Nic,7 Daze Fusion Raspberry Green Apple Watermelon,"Raspberry, Green Apple, Watermelon, Fruit",7-daze-fusion-raspberry-green-apple-watermelon.png,30ml,
Salt Nic,7 Daze Fusion Strawberry Banana Apple,"Strawberry, Banana, Apple, Fruit",7-daze-fusion-strawberry-banana-apple.png,30ml,
Salt Nic,7 Daze Fusion Strawberry Blackberry Lemon,"Strawberry, Blackberry, Lemon, Fruit",7-daze-fusion-strawberry-blackberry-lemon.png,30ml,
Salt Nic,7 Daze Fusion Strawberry Mango Nectarine,"Strawberry, Mango, Nectarine, Fruit",7-daze-fusion-strawberry-mango-nectarine.png,30ml,
Salt Nic,7 Daze Fusion Watermelon Apple Pear,"Watermelon, Apple, Pear, Fruit",7-daze-fusion-watermelon-apple-pear.png,30ml,
Salt Nic,7 Daze Fusion Yellow Green Red Mango,"Mango, Fruit",7-daze-fusion-yellow-green-red-mango.png,30ml,
Salt Nic,"7 Daze Glacial Mint - A crisp, minty blast of menthol with every puff.","Mint, Cool, Ice, Menthol",,30ml,
Salt Nic,7 Daze Iced Fusion Banana Cantaloupe Honeydew Iced,"Banana, Cantaloupe, Honeydew, Iced, Fruit, Menthol",7-daze-iced-fusion-banana-cantaloupe-honeydew-iced.png,30ml,
Salt Nic,7 Daze Iced Fusion Grape Apple Aloe Iced Iced,"Grape, Apple, Aloe, Ice, Fruit, Menthol",7-daze-iced-fusion-grape-apple-aloe-iced-iced.png,30ml,
Salt Nic,7 Daze Iced Fusion Grapefruit Orange Mango Iced,"Grapefruit, Orange, Mango, Fruit, Ice, Menthol",7-daze-iced-fusion-grapefruit-orange-mango-iced.png,30ml,
Salt Nic,7 Daze Iced Fusion Kiwi Passionfruit Guava Iced,"Kiwi, Passionfruit, Guava, Ice, Menthol, Fruit",7-daze-iced-fusion-kiwi-passionfruit-guava-iced.png,30ml,
Salt Nic,7 Daze Iced Fusion Lemon Passionfruit Blueberry Iced,"Lemon, Passionfruit, Blueberry, Fruit, Ice, Menthol",7-daze-iced-fusion-lemon-passionfruit-blueberry-iced.png,30ml,
Salt Nic,7 Daze Iced Fusion Orange Cream Mango Iced,"Orange, Cream, Mango, Ice, Fruit, Menthol",7-daze-iced-fusion-orange-cream-mango-iced.png,30ml,
Salt Nic,7 Daze Iced Fusion Orange Yuzu Tangerine Iced,"Orange, Yuzu, Tangerine, Fruit, Ice, Menthol",7-daze-iced-fusion-orange-yuzu-tangerine-iced.png,30ml,
Salt Nic,7 Daze Iced Fusion Pineapple Coconut Banana Iced,"Pineapple, Coconut, Banana, Fruit, Pina Colada, Ice, Menthol",7-daze-iced-fusion-pineapple-coconut-banana-iced.png,30ml,
Salt Nic,7 Daze Iced Fusion Pineapple Mango Orange Iced,"Pineapple, Mango, Orange, Fruit, Ice, Menthol",7-daze-iced-fusion-pineapple-mango-orange-iced.png,30ml,
Salt Nic,7 Daze Iced Fusion Raspberry Green Apple Watermelon Iced,"Raspberry, Green Apple, Watermelon, Ice, Fruit, Menthol",7-daze-iced-fusion-raspberry-green-apple-watermelon-iced.png,30ml,
Salt Nic,7 Daze Iced Fusion Strawberry Banana Apple Iced,"Strawberry, Banana, Apple, Fruit, Ice, Menthol",7-daze-iced-fusion-strawberry-banana-apple-iced.png,30ml,
Salt Nic,7 Daze Iced Fusion Strawberry Blackberry Lemon Iced,"Strawberry, Blackberry, Lemon, Fruit, Ice, Menthol",7-daze-iced-fusion-strawberry-blackberry-lemon-iced.png,30ml,
Salt Nic,7 Daze Iced Fusion Strawberry Mango Nectarine Iced,"Strawberry, Mango, Nectarine, Fruit, Ice, Menthol",7-daze-iced-fusion-strawberry-mango-nectarine-iced.png,30ml,
Salt Nic,7 Daze Iced Fusion Watermelon Apple Pear Iced,"Watermelon, Apple, Pear, Melon, Fruit, Ice, Menthol",7-daze-iced-fusion-watermelon-apple-pear-iced.png,30ml,
Salt Nic,7 Daze Iced Fusion Yellow Green Red Mango Iced,"Mango, Ice, Fruit, Menthol",7-daze-iced-fusion-yellow-green-red-mango-iced.png,30ml,
Salt Nic,7 Daze Reds Apple Berries,"Apple, Berry, Blueberry, Raspberry, Pomegranate, Fruit",7-daze-reds-apple-berries.png,30ml,
Salt Nic,7 Daze Reds Apple Gold Kiwi,"Apple, Kiwi, Fruit",7-daze-reds-apple-gold-kiwi.png,30ml,
Salt Nic,7 Daze Reds Apple Gold Kiwi Iced,"Apple, Kiwi, Ice, Fruit, Menthol",7-daze-reds-apple-gold-kiwi-iced.png,30ml,
Salt Nic,7 Daze Reds Apple Grape,"Apple, Grape, Fruit",7-daze-reds-apple-grape.png,30ml,
Salt Nic,7 Daze Reds Apple Original,"Apple, Red Apple, Fruit",7-daze-reds-apple-original.png,30ml,
Salt Nic,7 Daze Reds Apple Strawberry,"Apple, Strawberry, Fruit",7-daze-reds-apple-strawberry.png,30ml,
Salt Nic,7 Daze Reds Apple Watermelon,"Apple, Watermelon, Fruit",7-daze-reds-apple-watermelon.png,30ml,
Salt Nic,7 Daze Reds Iced Apple Berries Iced,"Apple, Berry, Ice, Blueberry, Raspberry, Pomegranate, Fruit, Menthol",7-daze-reds-iced-apple-berries-iced.png,30ml,
Salt Nic,7 Daze Reds Iced Apple Grape Iced,"Apple, Grape, Ice, Menthol, Fruit",7-daze-reds-iced-apple-grape-iced.png,30ml,
Salt Nic,7 Daze Reds Iced Apple Original Iced,"Apple, Red Apple, Ice, Menthol, Fruit",7-daze-reds-iced-apple-original-iced.png,30ml,
Salt Nic,7 Daze Reds Iced Apple Strawberry Iced,"Apple, Strawberry, Ice, Fruit, Menthol",7-daze-reds-iced-apple-strawberry-iced.png,30ml,
Salt Nic,7 Daze Reds Iced Apple Watermelon Iced,"Apple, Watermelon, Ice, Fruit, Menthol",7-daze-reds-iced-apple-watermelon-iced.png,30ml,
Salt Nic,7Daze Iced Slapple Iced - Apple and Blue Razz Iced. A collaboration between Reds Apple and Keep It 100.,"Apple, Blue Razz, Blue Raspberry, Ice, Menthol, Fruit, Candy",,30ml,
Salt Nic,7Daze Slapple - Apple and Blue Razz. A collaboration between Reds Apple and Keep It 100.,"Apple, Blue Razz, Blue Raspberry, Fruit, Candy",,30ml,
Salt Nic,Air Factory Menthol,"Menthol, Ice",air-factory-menthol.jpg,30ml,
Salt Nic,Air Factory Mint,"Mint, Ice, Menthol",air-factory-mint.jpg,30ml,
Salt Nic,Alt Zero Just Blues,"Blue, Candy, Blueberry, Blue Razz, Blue Raspberry, Fruit",alt-zero-just-blues.jpg,30ml,
Salt Nic,Alt Zero Just Reds,"Red, Candy, Strawberry, Watermelon, Cherry, Fruit Punch, Fruit, Raspberry",alt-zero-just-reds.jpg,30ml,
Salt Nic,"Alt Zero Paradox - A pitch black Mountain Dew with a twist of bold citrus, grape and dark fruits.","Grape, Citrus, Blackberry, Fruit",,30ml,
Salt Nic,"Alt Zero Paradox on the Rocks - Iced pitch black Mountain Dew with a twist of bold citrus, grape and dark fruits.","Grape, Citrus, Blackberry, Ice, Fruit, Menthol",,30ml,
Salt Nic,Bad Drip Bad Blood - Blueberry and Pomegranate.,"Blueberry, Pomegranate, Vanilla, Fruit, Creamy",,30ml,
Salt Nic,Bad Drip Don't Care Bear - Pear and peach gummies.,"Fruit, Candy, Pear, Peach, Gummy",,30ml,
Salt Nic,Bad Drip Drooly - Grape and Berry Gobstopper.,"Grape, Berry, Candy, Fruit",,30ml,
Salt Nic,"Bad Drip God Nectar - Passion fruit, guava, mango, and orange.","Passionfruit, Orange, Mango, Guava, Fruit, Tropical",,30ml,
Salt Nic,Barista Brew Salted Caramel Macchiato,"Caramel, Coffee, Espresso, Cream, Dessert",,30ml,
Salt Nic,Beard Vape Co. #32 - A delicious cinnamon funnel cake,"Funnel Cake, Cinnamon, Vanilla, Dessert",,30ml,
Salt Nic,Beard The Salty One Apple Cereal Donut Milk,"Apple, Cereal, Donut, Milk, Dessert, Cinnamon",,30ml,
Salt Nic,Beard The Salty One Stawberry Cereal Donut Milk,"Stawberry, Donut, Milk, Dessert",,30ml,
Salt Nic,Brewed Awakening Classic - A frappacino with a caramel blast and bold coffee finish with hazelnut and cream.,"Coffee, Caramel, Hazelnut, Cream, Dessert",,30ml,
Salt Nic,Candy King Batch - Sour Patch Candy.,"Sour Patch Kids, Candy, Orange, Cherry, Lemon, Lime, Fruit",,30ml,
Salt Nic,"Candy King Gush - Blueberry, raspberry, strawberry, green apple, and even orange.","Gushers, Candy, Gummy, Blueberry, Raspberry, Strawberry, Green Apple, Orange, Fruit",,30ml,
Salt Nic,Candy King Peachy Rings,"Peach, Candy, Gummy, Fruit",candy-king-peachy-rings.jpg,30ml,
Salt Nic,"Candy King Pink Squares -  - Chewy goodness blasting with flavor. Every inhale is a rush of vibrant, sweet fruity flavor.","Strawberry, Candy, Starburst, Fruit",,30ml,
Salt Nic,Candy King Strawberry Watermelon Bubblegum,"Strawberry, Watermelon, Bubblegum, Candy, Fruit",,30ml,
Salt Nic,Candy King Swedish,"Swedish Fish, Candy, Gummy, Strawberry, Raspberry, Fruit",candy-king-swedish.jpg,30ml,
Salt Nic,Candy King Worms,"Gummy Worms, Gummy, Candy, Orange, Lime, Lemon, Strawberry, Cherry, Raspberry, Fruit",candy-king-worms.jpg,30ml,
Salt Nic,Cassadega Cannoli Be Breakfast - Italian vanilla cream filled pastry with a light dusting of fruit cereal.,"Cannoli, Cream, Fruit Loops, Cereal, Dessert",cassadega-cannoli-be-breakfast.png,30ml,
Salt Nic,Cassadega Cannoli Be Cookie - Italian vanilla cream filled pastry with a unique cookies & cream shell.,"Cannoli, Cream, Oreo, Cookie, Dessert",cassadega-cannoli-be-cookie.png,30ml,
Salt Nic,Cassadega Cannoli Be Graham - Italian vanilla cream-filled pastry with graham cracker.,"Cannoli, Graham, Cream, Dessert",cassadega-cannoli-be-graham.png,30ml,
Salt Nic,Cassadega Cannoli Be Mine - Italian vanilla cream-filled pastry with strawberry drizzle.,"Cannoli, Cream, Strawberry, Dessert",cassadega-cannoli-be-mine.png,30ml,
Salt Nic,Cassadega Cannoli Be Nuts - Italian vanilla cream filled pastry with a topping of chopped and slow roasted pistachios.,"Cannoli, Cream, Pistachio, Nuts, Dessert",cassadega-cannoli-be-nuts.png,30ml,
Salt Nic,Cassadega Cannoli Be One - Italian vanilla cream-filled pastry,"Cannoli, Cream, Vanilla, Dessert",cassadega-cannoli-be-one.png,30ml,
Salt Nic,"Chubby Vapes Purp - Delicious, grape infused bubblegum.","Grape, Bubblegum, Candy, Fruit",,30ml,
Salt Nic,Cloud Chemist Cereal Science - A nostalgic berry inhale with a sweet cereal milk exhale.,"Cereal, Milk, Berry, Strawberry, Blueberry, Raspberry, Dessert",,30ml,
Salt Nic,Cloud Chemist Claws - An apple bear claw with a gooey caramel apple filling.,"Caramel, Green Apple, Apple, Pastrey, Dessert",,30ml,
Salt Nic,Cloud Chemist Frosty Science - Sweet sugary flaky cereal with a delicious cream finish.,"Frosted Flakes, Cereal, Milk, Dessert",,30ml,
Salt Nic,Cloud Chemist Heisenberry Crunch - A blueberry cereal inhale with a sweet creamy exhale.,"Blueberry, Cereal, Milk, Dessert",,30ml,
Salt Nic,Cloud Chemist Loopy Science - Frosted loopy cereal.,"Fruit Loops, Cereal, Milk, Dessert",,30ml,
Salt Nic,Cloud Chemist Pebble Science - Your favorite pebble cereal during the bedrock era.,"Fruity Pebbles, Cereal, Milk, Dessert",,30ml,
