type,manufacturer,flavor,profile,price,link
DISP,Geek Bar,Pulse 5% B Pop B Burst,"Pineapple, Banana, Citrus, Strawberry, Bubble Gum, Fruit, Candy",,
DISP,Geek Bar,Pulse 5% Blue Razz Ice,"Blue Razz, Ice, Blue Raspberry, Fruit, Candy",,
DISP,Geek Bar,Pulse 5% Meta Moon,"Papaya, Strawberry, Watermelon, Fruit",,
DISP,Geek Bar,Pulse 5% Pink Lemonade,"Citrus, Lemonade, Pink Lemonade, Strawberry, Fruit",,
DISP,Geek Bar,Pulse 5% Strawberry Banana,"Strawberry, Banana, Fruit",,
DISP,Geek Bar,Pulse 5% Tropical Rainbow Blast,"Tropical, Candy, Strawberry, Lime, Grape, Lemon, Orange, Skittles, Fruit, Candy",,
DISP,Geek Bar,Pulse 5% Watermelon Ice,"Watermelon, Ice, Fruit, Menthol",,
DISP,Geek Bar,Pulse 5% Black Cherry,"Black Cherry, Fruit",,
DISP,Geek Bar,Pulse 5% Blue Mint,"Blueberry, Mint, Ice, Menthol, Fruit",,
DISP,Geek Bar,Pulse 5% California Cherry,"Cherry, Fruit",,
DISP,Geek Bar,Pulse 5% Dragon Melon,"Dragonfruit, Pear, Watermelon, Fruit",,
DISP,Geek Bar,Pulse 5% Grape B Pop B Burst,"Grape, Bubblegum, Fruit, Candy",,
DISP,Geek Bar,Pulse 5% Juicy Peach Ice,"Peach, Ice, Menthol, Fruit",,
DISP,Geek Bar,Pulse 5% Mexico Mango,"Mango, Fruit",,
DISP,Geek Bar,Pulse 5% Miami Mint,"Mint, Citrus, Lemon, Lime, Menthol",,
DISP,Geek Bar,Pulse 5% Sour Apple Ice,"Green Apple, Sour Apple, Ice, Menthol, Fruit, Candy",,
DISP,Geek Bar,Pulse 5% Strawberry Mango,"Mango, Strawberry, Fruit",,
DISP,Geek Bar,Pulse 5% White Gummy Ice,"Pineapple, Gummy, Ice, Menthol, Fruit, Candy",,
DISP,Geek Bar,Pulse 5% Cherry Bomb,"Cherry, Ice, Menthol, Fruit",,
,,,,,
DISP,RAZ,TN9000 5% Blue Raz Ice,"Blue Rasberry, Ice, Blue Razz, Menthol",,
DISP,RAZ,TN9000 5% Blueberry Watermelon,"Blueberry, Watermelon, Fruit",,
,,,,,
DISP,RAZ,TN9000 5% Cherry Lemon,"Cherry, Lemon, Fruit",,
,,,,,
DISP,RAZ,TN9000 5% Dragon Fruit Lemonade,"Dragon Fruit, Lemonade, Fruit, Lemon",,
DISP,RAZ,TN9000 5% Graham Twist,"Graham, Honey, Dessert",,
DISP,RAZ,TN9000 5% Grape Ice,"Grape, Ice, Menthol",,
,RAZ,TN9000 5% Mango Colada,"Mango, Coconut, Pineapple, Fruit",,
DISP,RAZ,TN9000 5% Miami Mint,"Mint, Citrus, Lemon, Lime, Ice, Menthol",,
DISP,RAZ,TN9000 5% Night Crawler,"Mystery, Gummy Worm, Candy, Fruit",,
DISP,RAZ,TN9000 5% Polar Ice,"Mint, Cool, Ice, Menthol",,
,,,,,
DISP,RAZ,TN9000 5% Strawberry Ice,"Strawberry, Ice, Menthol, Fruit",,
DISP,RAZ,TN9000 5% Strawberry Shortcake,"Strawberry, Cake, Cream, Vanilla, Dessert",,
DISP,RAZ,TN9000 5% Triple Berry Ice,"Raspberry, Blueberry, Blackberry, Fruit",,
DISP,RAZ,TN9000 5% Watermelon Ice,"Watermelon, Ice, Menthol, Fruit, Lush Ice",,
SALT,7 Daze,Fusion Banana Cantaloupe Honeydew,"Banana, Cantaloupe, Honeydew, Fruit",,
SALT,7 Daze,Fusion Grape Apple Aloe,"Grape, Apple, Aloe, Fruit",,
SALT,7 Daze,Fusion Grapefruit Orange Mango,"Grapefruit, Orange, Mango, Fruit",,
SALT,7 Daze,Fusion Kiwi Passionfruit Guava,"Kiwi, Passionfruit, Guava, Fruit",,
SALT,7 Daze,Fusion Lemon Passionfruit Blueberry,"Lemon, Passionfruit, Blueberry, Fruit",,
SALT,7 Daze,Fusion Orange Cream Mango,"Orange, Cream, Mango, Fruit, Vanilla",,
SALT,7 Daze,Fusion Orange Yuzu Tangerine,"Orange, Yuzu, Tangerine, Fruit",,
SALT,7 Daze,Fusion Pineapple Coconut Banana,"Pineapple, Coconut, Banana, Fruit, Pina Colada",,
SALT,7 Daze,Fusion Pineapple Mango Orange,"Pineapple, Mango, Orange, Fruit",,
SALT,7 Daze,Fusion Raspberry Green Apple Watermelon,"Raspberry, Green Apple, Watermelon, Fruit",,
SALT,7 Daze,Fusion Strawberry Banana Apple,"Strawberry, Banana, Apple, Fruit",,
SALT,7 Daze,Fusion Strawberry Blackberry Lemon,"Strawberry, Blackberry, Lemon, Fruit",,
SALT,7 Daze,Fusion Strawberry Mango Nectarine,"Strawberry, Mango, Nectarine, Fruit",,
SALT,7 Daze,Fusion Watermelon Apple Pear,"Watermelon, Apple, Pear, Fruit",,
SALT,7 Daze,Fusion Yellow Green Red Mango,"Mango, Fruit",,
SALT,7 Daze,"Glacial Mint - A crisp, minty blast of menthol with every puff.","Mint, Cool, Ice, Menthol",,
SALT,7 Daze,Iced Fusion Banana Cantaloupe Honeydew Iced,"Banana, Cantaloupe, Honeydew, Iced, Fruit, Menthol",,
SALT,7 Daze,Iced Fusion Grape Apple Aloe Iced Iced,"Grape, Apple, Aloe, Ice, Fruit, Menthol",,
SALT,7 Daze,Iced Fusion Grapefruit Orange Mango Iced,"Grapefruit, Orange, Mango, Fruit, Ice, Menthol",,
SALT,7 Daze,Iced Fusion Kiwi Passionfruit Guava Iced,"Kiwi, Passionfruit, Guava, Ice, Menthol, Fruit",,
SALT,7 Daze,Iced Fusion Lemon Passionfruit Blueberry Iced,"Lemon, Passionfruit, Blueberry, Fruit, Ice, Menthol",,
SALT,7 Daze,Iced Fusion Orange Cream Mango Iced,"Orange, Cream, Mango, Ice, Fruit, Menthol",,
SALT,7 Daze,Iced Fusion Orange Yuzu Tangerine Iced,"Orange, Yuzu, Tangerine, Fruit, Ice, Menthol",,
SALT,7 Daze,Iced Fusion Pineapple Coconut Banana Iced,"Pineapple, Coconut, Banana, Fruit, Pina Colada, Ice, Menthol",,
SALT,7 Daze,Iced Fusion Pineapple Mango Orange Iced,"Pineapple, Mango, Orange, Fruit, Ice, Menthol",,
SALT,7 Daze,Iced Fusion Raspberry Green Apple Watermelon Iced,"Raspberry, Green Apple, Watermelon, Ice, Fruit, Menthol",,
SALT,7 Daze,Iced Fusion Strawberry Banana Apple Iced,"Strawberry, Banana, Apple, Fruit, Ice, Menthol",,
SALT,7 Daze,Iced Fusion Strawberry Blackberry Lemon Iced,"Strawberry, Blackberry, Lemon, Fruit, Ice, Menthol",,
SALT,7 Daze,Iced Fusion Strawberry Mango Nectarine Iced,"Strawberry, Mango, Nectarine, Fruit, Ice, Menthol",,
SALT,7 Daze,Iced Fusion Watermelon Apple Pear Iced,"Watermelon, Apple, Pear, Melon, Fruit, Ice, Menthol",,
SALT,7 Daze,Iced Fusion Yellow Green Red Mango Iced,"Mango, Ice, Fruit, Menthol",,
SALT,7 Daze,Reds Apple Berries,"Apple, Berry, Blueberry, Raspberry, Pomegranate, Fruit",,
